cve_id,model,total_tests,successful_tests,accuracy
CVE-2007-6762,anthropic-claude-3.5-sonnet,1,1,1.0
CVE-2007-6762,deepseek-deepseek-r1-0528-qwen3-8b:free,1,0,0.0
CVE-2007-6762,google-gemini-2.5-pro,1,1,1.0
CVE-2007-6762,meta-llama-llama-3-70b-instruct,1,1,1.0
CVE-2007-6762,mistralai-codestral-2508,1,0,0.0
CVE-2007-6762,moonshotai-kimi-k2:free,1,1,1.0
CVE-2007-6762,nousresearch-deephermes-3-mistral-24b-preview,1,0,0.0
CVE-2007-6762,openai-gpt-oss-20b:free,1,1,1.0
CVE-2010-5331,anthropic-claude-3.5-sonnet,1,1,1.0
CVE-2010-5331,deepseek-deepseek-r1-0528-qwen3-8b:free,1,1,1.0
CVE-2010-5331,google-gemini-2.5-pro,1,1,1.0
CVE-2010-5331,meta-llama-llama-3-70b-instruct,1,0,0.0
CVE-2010-5331,mistralai-codestral-2508,1,1,1.0
CVE-2010-5331,moonshotai-kimi-k2:free,1,0,0.0
CVE-2010-5331,nousresearch-deephermes-3-mistral-24b-preview,1,0,0.0
CVE-2010-5331,openai-gpt-oss-20b:free,1,1,1.0
CVE-2010-5332,anthropic-claude-3.5-sonnet,2,1,0.5
CVE-2010-5332,deepseek-deepseek-r1-0528-qwen3-8b:free,2,1,0.5
CVE-2010-5332,google-gemini-2.5-pro,2,2,1.0
CVE-2010-5332,meta-llama-llama-3-70b-instruct,2,0,0.0
CVE-2010-5332,mistralai-codestral-2508,2,2,1.0
CVE-2010-5332,moonshotai-kimi-k2:free,2,2,1.0
CVE-2010-5332,nousresearch-deephermes-3-mistral-24b-preview,2,0,0.0
CVE-2010-5332,openai-gpt-oss-20b:free,2,2,1.0
CVE-2011-5327,anthropic-claude-3.5-sonnet,1,1,1.0
CVE-2011-5327,deepseek-deepseek-r1-0528-qwen3-8b:free,1,1,1.0
CVE-2011-5327,google-gemini-2.5-pro,1,1,1.0
CVE-2011-5327,meta-llama-llama-3-70b-instruct,1,1,1.0
CVE-2011-5327,mistralai-codestral-2508,1,1,1.0
CVE-2011-5327,moonshotai-kimi-k2:free,1,1,1.0
CVE-2011-5327,nousresearch-deephermes-3-mistral-24b-preview,1,1,1.0
CVE-2011-5327,openai-gpt-oss-20b:free,1,1,1.0
CVE-2012-6711,anthropic-claude-3.5-sonnet,2,1,0.5
CVE-2012-6711,deepseek-deepseek-r1-0528-qwen3-8b:free,2,0,0.0
CVE-2012-6711,google-gemini-2.5-pro,2,2,1.0
CVE-2012-6711,meta-llama-llama-3-70b-instruct,2,1,0.5
CVE-2012-6711,mistralai-codestral-2508,2,1,0.5
CVE-2012-6711,moonshotai-kimi-k2:free,2,0,0.0
CVE-2012-6711,nousresearch-deephermes-3-mistral-24b-preview,2,1,0.5
CVE-2012-6711,openai-gpt-oss-20b:free,2,2,1.0
CVE-2012-6712,anthropic-claude-3.5-sonnet,2,2,1.0
CVE-2012-6712,deepseek-deepseek-r1-0528-qwen3-8b:free,2,1,0.5
CVE-2012-6712,google-gemini-2.5-pro,2,2,1.0
CVE-2012-6712,meta-llama-llama-3-70b-instruct,2,1,0.5
CVE-2012-6712,mistralai-codestral-2508,2,1,0.5
CVE-2012-6712,moonshotai-kimi-k2:free,2,2,1.0
CVE-2012-6712,nousresearch-deephermes-3-mistral-24b-preview,2,0,0.0
CVE-2012-6712,openai-gpt-oss-20b:free,2,2,1.0
CVE-2013-0178,anthropic-claude-3.5-sonnet,10,4,0.4
CVE-2013-0178,meta-llama-llama-3-70b-instruct,10,6,0.6
CVE-2013-0178,mistralai-codestral-2508,10,5,0.5
CVE-2013-0178,moonshotai-kimi-k2:free,10,6,0.6
CVE-2013-0178,nousresearch-deephermes-3-mistral-24b-preview,10,7,0.7
CVE-2013-0178,openai-gpt-oss-20b:free,10,1,0.1
CVE-2014-125017,anthropic-claude-3.5-sonnet,1,1,1.0
CVE-2014-125017,deepseek-deepseek-r1-0528-qwen3-8b:free,1,1,1.0
CVE-2014-125017,google-gemini-2.5-pro,1,1,1.0
CVE-2014-125017,meta-llama-llama-3-70b-instruct,1,1,1.0
CVE-2014-125017,mistralai-codestral-2508,1,1,1.0
CVE-2014-125017,moonshotai-kimi-k2:free,1,1,1.0
CVE-2014-125017,nousresearch-deephermes-3-mistral-24b-preview,1,1,1.0
CVE-2014-125017,openai-gpt-oss-20b:free,1,1,1.0
CVE-2014-125018,anthropic-claude-3.5-sonnet,1,1,1.0
CVE-2014-125018,deepseek-deepseek-r1-0528-qwen3-8b:free,1,1,1.0
CVE-2014-125018,google-gemini-2.5-pro,1,1,1.0
CVE-2014-125018,meta-llama-llama-3-70b-instruct,1,0,0.0
CVE-2014-125018,mistralai-codestral-2508,1,0,0.0
CVE-2014-125018,moonshotai-kimi-k2:free,1,0,0.0
CVE-2014-125018,nousresearch-deephermes-3-mistral-24b-preview,1,1,1.0
CVE-2014-125018,openai-gpt-oss-20b:free,1,0,0.0
CVE-2014-125019,anthropic-claude-3.5-sonnet,2,2,1.0
CVE-2014-125019,deepseek-deepseek-r1-0528-qwen3-8b:free,2,2,1.0
CVE-2014-125019,google-gemini-2.5-pro,2,2,1.0
CVE-2014-125019,meta-llama-llama-3-70b-instruct,2,0,0.0
CVE-2014-125019,mistralai-codestral-2508,2,2,1.0
CVE-2014-125019,moonshotai-kimi-k2:free,2,1,0.5
CVE-2014-125019,nousresearch-deephermes-3-mistral-24b-preview,2,0,0.0
